n,mean_T,std_T
2.0,0.002251365000000598,0.00010390345308127342
3.0,0.002991614881429996,3.995953673976218e-05
4.0,0.004158219108573706,0.00019173809696874082
5.0,0.0051891495228535076,0.00017257183986756593
6.0,0.006488044762858669,0.00020434023873529936
7.0,0.008295275477139513,0.00023770098697088016
8.0,0.01055345624857312,0.00037190939313459337
9.0,0.013978721011426389,3.933952742988436e-05
10.0,0.021257667842863676,3.752107298799164e-05
11.0,0.03642396250000145,0.00034526216758311605
12.0,0.06790261965712228,0.00021451031258421785
13.0,0.1342717196571487,0.00035184773036722245
14.0,0.28935988671426977,0.0020004925479603676
15.0,0.5823116607142376,0.0030893241023460635
16.0,1.2214658927145396,0.0052784124215107765
17.0,2.8259563450002525,0.018074802486223524
18.0,6.406134350999439,0.03158559928896114
19.0,13.905147744143376,0.06286594384221389
20.0,29.774678702571173,0.12916438929840499
