n,mean_T,std_T
2.0,0.0007068995177141915,6.266751723223457e-06
3.0,0.0013088784585717284,5.028533492817896e-05
4.0,0.002310606727151026,4.140490862540655e-06
5.0,0.004587002738563959,1.438895914213999e-05
6.0,0.012287295295713454,5.639040872236085e-05
7.0,0.0461283696571627,3.586369738643633e-05
8.0,0.20609160114327096,0.0005497278374818451
9.0,0.9676242141426233,0.003330725590322943
10.0,4.573267196285867,0.0040891337198528145
11.0,21.179889833428856,0.020117417025701433
12.0,134.50863647628492,0.375986071946811
13.0,623.9298844822858,0.7210908657235485
